interval_start_index,partition,time_s,speed_mps,steer_rad,input_steer_vel_radps,input_accel_x_mps2,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_residual_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_residual_rad
4,train,0.05,0.782968127,0.0,3.2,5.786986558,0.041710625,0.041710624907751875,-9.224812580477249e-11,0.007383522,0.007383522252800625,2.5280062505156353e-10
5,train,0.06,0.840837992,0.032,-3.2,5.511815347,0.035543978,0.0355439779101152,-8.988479405225291e-11,0.007334587,0.007334586453177394,-5.468226062926851e-10
6,train,0.07,0.895956146,0.0,3.2,5.249728527,0.046441133,0.04644113313369979,1.3369978735244814e-10,0.007455779,0.007455779416330361,4.1633036081123453e-10
7,train,0.08,0.948453431,0.032,-3.2,5.000103936,0.040936293,0.040936293055925714,5.5925715447546764e-11,0.007296799,0.007296798455405415,-5.445945847060152e-10
8,train,0.09,0.99845447,0.0,3.2,4.762348994,0.050664198,0.05066419782770974,-1.7229025844889279e-10,0.007388777,0.007388777120154178,1.2015417827360153e-10
9,train,0.1,1.04607796,0.032,-3.2,4.535899299,0.045591119,0.045591119617075196,6.170751964962307e-10,0.007190269,0.007190269184189095,1.8418909539935635e-10
10,train,0.11,1.091436953,0.0,3.2,4.320217287,0.054506396,0.05450639538486069,-6.151393075470857e-10,0.0072752,0.007275199626310693,-3.736893069289371e-10
11,train,0.12,1.134639126,0.032,-3.2,4.114790955,0.049712818,0.04971281853147404,5.314740383899341e-10,0.007060761,0.00706076097846596,-2.153403930865716e-11
12,train,0.13,1.175787036,0.0,3.2,3.919132645,0.058023354,0.05802335378110514,-2.1889486057080632e-10,0.007144935,0.007144935573649583,5.736495835642619e-10
13,train,0.14,1.214978362,0.032,-3.2,3.732777888,0.053410239,0.053410238564919714,-4.3508028430006007e-10,0.00692385,0.006923849317961855,-6.82038144711461e-10
14,train,0.15,1.252306141,0.0,3.2,3.5552843,0.061248086,0.06124808683441503,8.344150301264897e-10,0.007009344,0.007009344222570714,2.2257071446291077e-10
15,train,0.16,1.287858984,0.032,-3.2,3.386230531,0.056750792,0.05675079182993792,-1.7006208247183352e-10,0.006785821,0.006785821071439844,7.143984362412148e-11
16,train,0.17,1.321721289,0.0,3.2,3.225215269,0.064206162,0.06420616148660956,-5.133904412701895e-10,0.006873471,0.006873471259534545,2.595345448969111e-10
17,train,0.18,1.353973442,0.032,-3.2,3.071856283,0.059781855,0.059781854819284996,-1.8071500546001928e-10,0.006649671,0.006649670824704256,-1.7529574406621728e-10
18,train,0.19,1.384692005,0.0,3.2,2.925789517,0.066919909,0.06691990896644884,-3.3551161848777156e-11,0.006739904,0.006739904066644974,6.664497426145388e-11
19,train,0.2,1.4139499,0.032,-3.2,2.786668225,0.062539715,0.06253971527627622,2.7627622412040864e-10,0.00651705,0.00651704983058117,-1.6941882965970656e-10
20,train,0.21,1.441816582,0.0,3.2,2.654162151,0.069409561,0.06940956132178432,3.2178432141094504e-10,0.006610129,0.006610128684604305,-3.153956948040437e-10
21,train,0.22,1.468358204,0.032,-3.2,2.527956741,0.065053716,0.06505371623528518,2.3528518022786216e-10,0.006388964,0.006388963836449068,-1.6355093147846222e-10
22,train,0.23,1.493637771,0.0,3.2,2.407752398,0.071693591,0.07169359116853684,1.6853683726392177e-10,0.006485063,0.006485063394590871,3.9459087126242354e-10
23,train,0.24,1.517715295,0.032,-3.2,2.293263772,0.06734841,0.06734840999499565,-5.004344161285701e-12,0.006266056,0.006266056183963615,1.8396361517458715e-10
24,train,0.25,1.540647933,0.0,3.2,2.184219079,0.073788863,0.07378886309626428,9.626428820741495e-11,0.006365291,0.006365290332385776,-6.676142243200456e-10
25,train,0.26,1.562490124,0.032,-3.2,2.080359462,0.069444813,0.06944481294053756,-5.946243497589876e-11,0.00614874,0.006148740144346273,1.443462736491763e-10
26,train,0.27,1.583293718,0.0,3.2,1.98143837,0.075710767,0.07571076739745053,3.97450530820187e-10,0.006251173,0.006251173424070172,4.2407017220719156e-10
27,train,0.28,1.603108102,0.032,-3.2,1.887220975,0.071361204,0.07136120408168187,8.168186960144652e-11,0.006037262,0.006037261577116858,-4.228831416985823e-10
