time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
13.95,1.75977638,1.75977638,27.556045245,27.556045245,0.0,1.565948092,1.565948092,0.0,-0.088408511,-0.088408511,0.0,-0.004058143,-0.004058143,0.0
13.96,1.759959159,1.7599591593306374,27.576044406,27.57604440647017,5.74787395439937e-10,1.565120419,1.5651204189202046,-7.979572558269865e-11,-0.09422522,-0.09422522061562412,-6.156241211252578e-10,-0.004365063,-0.004365062921881966,7.81180337430798e-11
13.97,1.760176301,1.7601763012653802,27.596043224,27.59604322420986,3.383324346957504e-10,1.564112046,1.5641120464301013,4.3010128791820534e-10,-0.090196337,-0.09019633716900721,-1.6900721100387983e-10,-0.004309608,-0.004309607844066626,1.5593337471947466e-10
13.98,1.76040026,1.7604002603120184,27.616041967,27.616041966993382,3.1208860301866244e-10,1.563270269,1.5632702692998288,2.998286063871092e-10,-0.095320411,-0.09532041132832592,-3.2832592200549016e-10,-0.004548414,-0.00454841439024057,-3.9024056989328537e-10
13.99,1.760683046,1.7606830467938948,27.636039948,27.63603994833361,8.611415598733994e-10,1.561960763,1.561960763125291,1.2529088877499817e-10,-0.176522016,-0.17652201553860003,4.6139997378347175e-10,-0.007921584,-0.007921584414762317,-4.147623165057235e-10
14.0,1.761065229,1.7610652294089526,27.656036279,27.6560362793444,5.346528534013021e-10,1.559890242,1.5598902420849505,8.495071313063818e-11,-0.216193965,-0.216193965070775,-7.077502472974118e-11,-0.009802739,-0.009802738818184779,1.8181522086491153e-10
14.01,1.76151038,1.7615103807387313,27.676031311,27.67603131166966,9.970810745962384e-10,1.557649602,1.5576496021375101,1.375104474732325e-10,-0.246703854,-0.24670385436300188,-3.6300187855609067e-10,-0.011286519,-0.011286518912210665,8.778933482944673e-11
14.02,1.762039317,1.7620393171116433,27.696024303,27.696024303454013,4.675372509226359e-10,1.555037845,1.5550378445206183,-4.793818675352668e-10,-0.257046397,-0.25704639654711264,4.5288733874215836e-10,-0.011998024,-0.011998024189778685,-1.8977868582181756e-10
14.03,1.762620893,1.762620892976649,27.716015835,27.71601583507313,7.676674406242368e-11,1.552481702,1.552481702247258,2.4725821390347846e-10,-0.270561614,-0.2705616135364692,4.635308248346348e-10,-0.012746266,-0.012746266066070554,-6.607055527685368e-11
14.04,1.76327928,1.7632792808469522,27.736004984,27.7360049843709,9.24605214900232e-10,1.549685352,1.5496853524267769,4.267768360932678e-10,-0.271037733,-0.2710377326375892,3.6241082357335586e-10,-0.012987136,-0.01298713615648407,-1.5648407049317914e-10
