metric,value,units,pass
duration_s,19.903778,s,True
num_samples,4977,count,True
collision,0,bool,True
speed_mean_mps,1.985192671586699,m/s,True
speed_std_mps,0.10204456186620732,m/s,True
speed_cv,0.05140285037655638,unitless,True
steer_range_rad,0.079999994,rad,True
yaw_rate_range_radps,0.567181385,rad/s,True
steering_saturation_fraction,0.0,fraction,True
max_saturation_segment_s,0.0,s,True
required_topic_overlap_s,19.910131692886353,s,True
collision_observed,0,bool,True
topic_ego_racecar_odom_observed_rate_hz,251.81940441882804,Hz,True
topic_ego_racecar_odom_max_gap_s,0.007476091384887695,s,True
topic_ego_racecar_odom_median_header_bag_skew_s,0.00034928321838378906,s,True
topic_ego_racecar_odom_max_header_bag_skew_s,0.00311279296875,s,True
topic_drive_observed_rate_hz,100.16726769039715,Hz,True
topic_drive_max_gap_s,0.013303041458129883,s,True
topic_drive_median_header_bag_skew_s,0.0001373291015625,s,True
topic_drive_max_header_bag_skew_s,0.0018491744995117188,s,True
