time_s,measured_x_m,predicted_x_m,measured_y_m,predicted_y_m,position_error_m,measured_yaw_rad,predicted_yaw_rad,yaw_error_rad,measured_yaw_rate_radps,predicted_yaw_rate_radps,yaw_rate_error_radps,measured_slip_angle_rad,predicted_slip_angle_rad,slip_angle_error_rad
14.03,1.702978635,1.702978635,27.578157701,27.578157701,0.0,1.561370577,1.561370577,0.0,-0.094225242,-0.094225242,0.0,-0.004365076,-0.004365076,0.0
14.04,1.703270768,1.7032707678680734,27.598155563,27.598155563885637,8.954103670481492e-10,1.560362204,1.5603622043220247,3.2202462918462516e-10,-0.090196353,-0.09019635358372521,-5.837252070595156e-10,-0.004309618,-0.004309617778928057,2.210719428699659e-10
14.05,1.703569718,1.7035697174673792,27.618153326,27.618153326253292,5.897805905600582e-10,1.559520427,1.5595204270476657,4.766587125004662e-11,-0.095320424,-0.09532042388352166,1.164783408613701e-10,-0.004548422,-0.004548421935947436,6.40525636003142e-11
14.06,1.703927491,1.7039274911937603,27.638150106,27.63815010659013,6.211223830770884e-10,1.558210921,1.5582109207632975,-2.367022133853425e-10,-0.176522025,-0.1765220250759183,-7.591829942477091e-11,-0.00792159,-0.007921590142953901,-1.429539021879922e-10
14.07,1.704384654,1.7043846541361756,27.658144863,27.658144863890197,9.005516821544567e-10,1.556140399,1.5561403996395722,6.39571950955542e-10,-0.216193972,-0.21619397233046797,-3.304679585536263e-10,-0.009802743,-0.009802743166573851,-1.6657385193408203e-10
14.08,1.704904781,1.704904780458091,27.678138086,27.67813808639194,6.687910322228997e-10,1.553899759,1.553899759628587,6.285869602606908e-10,-0.24670386,-0.2467038598777721,1.2222789447235982e-10,-0.011286522,-0.011286522212420826,-2.1242082572092702e-10
14.09,1.705508684,1.705508683565164,27.698128954,27.69812895418734,4.734742650452455e-10,1.551288002,1.5512880019634983,-3.6501468514416047e-11,-0.257046401,-0.25704640074656254,2.5343743770278593e-10,-0.011998027,-0.011998026694345845,3.056541547641345e-10
14.1,1.706165221,1.7061652203058075,27.718118164,27.7181181644387,8.211946576445194e-10,1.548731859,1.5487318596533752,6.533751317761016e-10,-0.270561617,-0.2705616167213429,2.786570973967173e-10,-0.012746268,-0.012746267966064928,3.393507176652211e-11
14.11,1.70689856,1.706898559568467,27.738104704,27.73810470435341,5.57780607235468e-10,1.54593551,1.5459355098050906,-1.9490942193556293e-10,-0.271037735,-0.2710377350627189,-6.271888564057804e-11,-0.012987138,-0.012987137597725056,4.0227494425837396e-10
14.12,1.707679744,1.707679743715783,27.758089432,27.758089432432246,5.173177972032266e-10,1.543270859,1.5432708597309102,7.309104432806635e-10,-0.278810561,-0.2788105609703782,2.962180500887257e-11,-0.013428618,-0.013428618138350423,-1.3835042313170565e-10
14.13,1.708534376,1.7085343761575074,27.778071154,27.77807115406307,1.6966600858246602e-10,1.540410347,1.5404103469851087,-1.48911993846923e-11,-0.27593373,-0.2759337298794351,1.205648914037738e-10,-0.013465697,-0.01346569714065634,-1.4065633900661734e-10
14.14,1.709434476,1.7094344760045421,27.798050879,27.798050879875166,8.75176616381259e-10,1.537707474,1.537707473847874,-1.5212631154781775e-10,-0.281740673,-0.28174067275171255,2.482874461584572e-10,-0.013769215,-0.013769215084482351,-8.448235166991225e-11
14.15,1.710406306,1.7104063053492735,27.818027244,27.818027244893862,1.1056381520739756e-09,1.534823982,1.534823982222469,2.2246915420964797e-10,-0.277705139,-0.27770513936663965,-3.666396630741531e-10,-0.013711199,-0.013711199021312351,-2.1312351189406442e-11
14.16,1.711422355,1.7114223546733869,27.83800141,27.838001410118004,3.472765019423154e-10,1.532107141,1.5321071415218368,5.218367959969328e-10,-0.282824605,-0.2828246052647981,-2.64798072358019e-10,-0.013948074,-0.013948073754423454,2.4557654521029093e-10
14.17,1.712509208,1.712509207188377,27.857971847,27.857971847556517,9.840938168092194e-10,1.529215048,1.5292150484117943,4.1179415433134636e-10,-0.278377819,-0.2783778190148333,-1.4833301253958098e-11,-0.013842659,-0.013842658519296178,4.807038222337523e-10
14.18,1.713639597,1.7136395971199518,27.877939868,27.877939868396894,4.1462519334741886e-10,1.52649283,1.5264928306305858,6.30585805794226e-10,-0.283248794,-0.2832487937111463,2.888537187217821e-10,-0.014045387,-0.014045387430711976,-4.3071197650124127e-10
14.19,1.714840271,1.7148402703300558,27.897903786,27.89790378605372,6.720944862759054e-10,1.523597319,1.523597319233783,2.3378277091978816e-10,-0.278650051,-0.27865005102627416,-2.6274149522720336e-11,-0.013915107,-0.013915107293135586,-2.9313558698451647e-10
14.2,1.716058746,1.7160587452562746,27.917866632,27.917866632350382,8.221288145450303e-10,1.521165326,1.5211653264370657,4.37065494907074e-10,-0.197781646,-0.19778164629682987,-2.96829866242021e-10,-0.010622442,-0.010622442039110497,-3.911049782645559e-11
14.21,1.717254106,1.7172541059056934,27.937830875,27.937830875039253,1.0214988512967287e-10,1.519491655,1.5194916556844227,6.844227407043491e-10,-0.158324871,-0.15832487146159258,-4.615925697226686e-10,-0.008801321,-0.008801321299913097,-2.9991309609400663e-10
