metric,value,units,partition,description
fitted_C_Sf,4.717999997547865,Gym coefficient,fit,Identified front cornering stiffness coefficient.
fitted_C_Sr,5.4562000035612765,Gym coefficient,fit,Identified rear cornering stiffness coefficient.
C_Sf_oracle_relative_error,5.197404373961144e-10,fraction,oracle_check,Relative error against the known synthetic-data oracle.
C_Sr_oracle_relative_error,6.527027247800356e-10,fraction,oracle_check,Relative error against the known synthetic-data oracle.
jacobian_condition_number,1.3401395058241719,unitless,fit,Condition number of the normalized residual Jacobian.
train_one_step_yaw_rate_rmse,3.352124918508854e-10,rad/s,train,One-step yaw-rate RMSE.
train_one_step_slip_angle_rmse,3.6152932788873295e-10,rad,train,One-step slip-angle RMSE.
heldout_one_step_yaw_rate_rmse,3.559729264802981e-10,rad/s,heldout,One-step yaw-rate RMSE.
heldout_one_step_slip_angle_rmse,3.661407291509426e-10,rad,heldout,One-step slip-angle RMSE.
heldout_rollout_position_rmse,2.0669399369120976e-09,m,heldout,Independent held-out rollout position RMSE.
heldout_rollout_yaw_rmse,3.846296685688291e-10,rad,heldout,Independent held-out rollout yaw RMSE.
heldout_rollout_yaw_rate_rmse,3.0288808435335034e-10,rad/s,heldout,Independent held-out rollout yaw-rate RMSE.
heldout_rollout_yaw_rate_nrmse,5.346679152204092e-10,fraction of measured range,heldout,Independent held-out rollout yaw-rate RMSE normalized by measured range.
heldout_rollout_yaw_rate_vaf_percent,100.0,%,heldout,Independent held-out rollout yaw-rate variance accounted for.
heldout_rollout_slip_angle_rmse,2.8778980400193877e-10,rad,heldout,Independent held-out rollout slip-angle RMSE.
heldout_rollout_slip_angle_nrmse,1.0244993747838303e-08,fraction of measured range,heldout,Independent held-out rollout slip-angle RMSE normalized by measured range.
heldout_rollout_slip_angle_vaf_percent,99.9999999999999,%,heldout,Independent held-out rollout slip-angle variance accounted for.
train_intervals,1392.0,count,train,Dynamic-regime intervals used for fitting.
heldout_intervals,597.0,count,heldout,Chronologically held-out dynamic-regime intervals.
optimizer_cost,1.0390271991557108e-12,unitless,fit,Least-squares objective at the solution.
optimizer_evaluations,6.0,count,fit,Optimizer function evaluations.
