run_id,integrator,dt_s,step,time_s,x_m,y_m,theta_rad,speed_mps,steer_rad,command_speed_mps,command_steer_rad,yaw_rate_radps,accel_x_mps2,accel_y_mps2,nearest_waypoint_index,progress_m,cte_m,abs_cte_m,lap_time_s,lap_count,collision,completed_lap,termination_reason
rk4_dt_0p0010,rk4,0.001000,1,0.001000,0.700000835,0.000004121,1.370796327,0.008409439,0.000000000,8.842732662,-0.179619089,0.000000000,8.409438762,0.000000000,0,0.168814922,0.367982256,0.367982256,0.002000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,2,0.002000,0.700003451,0.000017023,1.370796327,0.017919439,0.000000000,8.842732662,-0.179619089,0.000000000,9.510000000,0.000000000,0,0.168827699,0.367979089,0.367979089,0.003000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,3,0.003000,0.700007955,0.000039245,1.370796209,0.027429439,-0.003200000,8.842732662,-0.179619089,-0.000265822,9.510000000,-0.000007291,0,0.168849706,0.367973634,0.367973634,0.004000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,4,0.004000,0.700014350,0.000070788,1.370795734,0.036939439,-0.006400000,8.842732662,-0.179619012,-0.000715977,9.510000000,-0.000026448,0,0.168880944,0.367965890,0.367965890,0.005000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,5,0.005000,0.700022633,0.000111652,1.370794716,0.046449439,-0.009600000,8.842732662,-0.179618701,-0.001350479,9.510000000,-0.000062729,0,0.168921411,0.367955859,0.367955859,0.006000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,6,0.006000,0.700032806,0.000161835,1.370792971,0.055959439,-0.012800000,8.842732662,-0.179618035,-0.002169352,9.510000000,-0.000121396,0,0.168971109,0.367943540,0.367943540,0.007000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,7,0.007000,0.700044868,0.000221339,1.370790316,0.065469439,-0.016000000,8.842732662,-0.179616894,-0.003172624,9.510000000,-0.000207710,0,0.169030037,0.367928933,0.367928933,0.008000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,8,0.008000,0.700058820,0.000290164,1.370786565,0.074979439,-0.019200000,8.842732662,-0.179615156,-0.004360334,9.510000000,-0.000326935,0,0.169098195,0.367912037,0.367912037,0.009000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,9,0.009000,0.700074662,0.000368309,1.370781534,0.084489439,-0.022400000,8.842732662,-0.179612702,-0.005732526,9.510000000,-0.000484338,0,0.169175582,0.367892853,0.367892853,0.010000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,10,0.010000,0.700092394,0.000455774,1.370775038,0.093999439,-0.025600000,8.842732662,-0.179609412,-0.007289253,9.510000000,-0.000685186,0,0.169262200,0.367871380,0.367871380,0.011000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,11,0.011000,0.700112016,0.000552559,1.370766893,0.103509439,-0.028800000,8.842732662,-0.179605163,-0.009030576,9.510000000,-0.000934750,0,0.169358048,0.367847619,0.367847619,0.012000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,12,0.012000,0.700133528,0.000658665,1.370756915,0.113019439,-0.032000000,8.842732662,-0.179599837,-0.010956563,9.510000000,-0.001238305,0,0.169463126,0.367821568,0.367821568,0.013000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,13,0.013000,0.700156931,0.000774091,1.370744919,0.122529439,-0.035200000,8.842732662,-0.179593313,-0.013067288,9.510000000,-0.001601127,0,0.169577434,0.367793228,0.367793228,0.014000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,14,0.014000,0.700182226,0.000898837,1.370730719,0.132039439,-0.038400000,8.842732662,-0.179585471,-0.015362835,9.510000000,-0.002028500,0,0.169700971,0.367762598,0.367762598,0.015000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,15,0.015000,0.700209413,0.001032902,1.370714131,0.141549439,-0.041600000,8.842732662,-0.179576190,-0.017843294,9.510000000,-0.002525708,0,0.169833737,0.367729677,0.367729677,0.016000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,16,0.016000,0.700238492,0.001176288,1.370694971,0.151059439,-0.044800000,8.842732662,-0.179565349,-0.020508764,9.510000000,-0.003098042,0,0.169975733,0.367694466,0.367694466,0.017000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,17,0.017000,0.700269465,0.001328993,1.370673052,0.160569439,-0.048000000,8.842732662,-0.179552830,-0.023359351,9.510000000,-0.003750798,0,0.170126959,0.367656962,0.367656962,0.018000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,18,0.018000,0.700302332,0.001491017,1.370648190,0.170079439,-0.051200000,8.842732662,-0.179538512,-0.026395168,9.510000000,-0.004489275,0,0.170287413,0.367617165,0.367617165,0.019000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,19,0.019000,0.700337094,0.001662361,1.370620200,0.179589439,-0.054400000,8.842732662,-0.179522275,-0.029616336,9.510000000,-0.005318781,0,0.170457096,0.367575075,0.367575075,0.020000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,20,0.020000,0.700373752,0.001843024,1.370588896,0.189099439,-0.057600000,8.842732662,-0.179503999,-0.033022985,9.510000000,-0.006244628,0,0.170636007,0.367530690,0.367530690,0.021000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,21,0.021000,0.700412308,0.002033005,1.370554092,0.198609439,-0.060800000,8.842732662,-0.179483563,-0.036615250,9.510000000,-0.007272134,0,0.170824147,0.367484009,0.367484009,0.022000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,22,0.022000,0.700452762,0.002232305,1.370515603,0.208119439,-0.064000000,8.842732662,-0.179460850,-0.040393276,9.510000000,-0.008406626,0,0.171021514,0.367435030,0.367435030,0.023000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,23,0.023000,0.700495117,0.002440924,1.370473244,0.217629439,-0.067200000,8.842732662,-0.179435738,-0.044357215,9.510000000,-0.009653436,0,0.171228109,0.367383753,0.367383753,0.024000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,24,0.024000,0.700539373,0.002658860,1.370426827,0.227139439,-0.070400000,8.842732662,-0.179408108,-0.048507227,9.510000000,-0.011017904,0,0.171443931,0.367330176,0.367330176,0.025000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,25,0.025000,0.700585533,0.002886114,1.370376167,0.236649439,-0.073600000,8.842732662,-0.179377841,-0.052843479,9.510000000,-0.012505380,0,0.171668980,0.367274296,0.367274296,0.026000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,26,0.026000,0.700633599,0.003122685,1.370321078,0.246159439,-0.076800000,8.842732662,-0.179344817,-0.057366147,9.510000000,-0.014121218,0,0.171903255,0.367216113,0.367216113,0.027000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,27,0.027000,0.700683572,0.003368572,1.370261373,0.255669439,-0.080000000,8.842732662,-0.179308916,-0.062075413,9.510000000,-0.015870786,0,0.172146755,0.367155623,0.367155623,0.028000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,28,0.028000,0.700735455,0.003623776,1.370196865,0.265179439,-0.083200000,8.842732662,-0.179270021,-0.066971469,9.510000000,-0.017759456,0,0.172399481,0.367092825,0.367092825,0.029000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,29,0.029000,0.700789250,0.003888296,1.370127367,0.274689439,-0.086400000,8.842732662,-0.179228010,-0.072054513,9.510000000,-0.019792614,0,0.172661431,0.367027716,0.367027716,0.030000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,30,0.030000,0.700844961,0.004162131,1.370052693,0.284199439,-0.089600000,8.842732662,-0.179182767,-0.077324752,9.510000000,-0.021975651,0,0.172932605,0.366960294,0.366960294,0.031000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,31,0.031000,0.700902589,0.004445280,1.369972655,0.293709439,-0.092800000,8.842732662,-0.179134170,-0.082782400,9.510000000,-0.024313972,0,0.173213002,0.366890556,0.366890556,0.032000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,32,0.032000,0.700962138,0.004737744,1.369887066,0.303219439,-0.096000000,8.842732662,-0.179082102,-0.088427680,9.510000000,-0.026812992,0,0.173502621,0.366818498,0.366818498,0.033000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,33,0.033000,0.701023611,0.005039521,1.369795737,0.312729439,-0.099200000,8.842732662,-0.179026445,-0.094260823,9.510000000,-0.029478134,0,0.173801462,0.366744119,0.366744119,0.034000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,34,0.034000,0.701087012,0.005350610,1.369698482,0.322239439,-0.102400000,8.842732662,-0.178967078,-0.100282066,9.510000000,-0.032314837,0,0.174109524,0.366667413,0.366667413,0.035000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,35,0.035000,0.701152344,0.005671012,1.369595111,0.331749439,-0.105600000,8.842732662,-0.178903884,-0.106491657,9.510000000,-0.035328547,0,0.174426806,0.366588378,0.366588378,0.036000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,36,0.036000,0.701219611,0.006000724,1.369485436,0.341259439,-0.108800000,8.842732662,-0.178836745,-0.112889849,9.510000000,-0.038524727,0,0.174753306,0.366507009,0.366507009,0.037000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,37,0.037000,0.701288818,0.006339747,1.369369268,0.350769439,-0.112000000,8.842732662,-0.178765541,-0.119476905,9.510000000,-0.041908847,0,0.175089025,0.366423303,0.366423303,0.038000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,38,0.038000,0.701359968,0.006688079,1.369246419,0.360279439,-0.115200000,8.842732662,-0.178690156,-0.126253097,9.510000000,-0.045486395,0,0.175433960,0.366337255,0.366337255,0.039000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,39,0.039000,0.701433067,0.007045720,1.369116699,0.369789439,-0.118400000,8.842732662,-0.178610470,-0.133218701,9.510000000,-0.049262869,0,0.175788110,0.366248861,0.366248861,0.040000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,40,0.040000,0.701508118,0.007412668,1.368979918,0.379299439,-0.121600000,8.842732662,-0.178526366,-0.140374007,9.510000000,-0.053243782,0,0.176151475,0.366158115,0.366158115,0.041000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,41,0.041000,0.701585129,0.007788922,1.368835887,0.388809439,-0.124800000,8.842732662,-0.178437726,-0.147719308,9.510000000,-0.057434661,0,0.176524054,0.366065013,0.366065013,0.042000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,42,0.042000,0.701664103,0.008174481,1.368684416,0.398319439,-0.128000000,8.842732662,-0.178344432,-0.155254908,9.510000000,-0.061841048,0,0.176905843,0.365969549,0.365969549,0.043000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,43,0.043000,0.701745047,0.008569345,1.368525314,0.407829439,-0.131200000,8.842732662,-0.178246367,-0.162981119,9.510000000,-0.066468498,0,0.177296843,0.365871718,0.365871718,0.044000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,44,0.044000,0.701827967,0.008973511,1.368358390,0.417339439,-0.134400000,8.842732662,-0.178143413,-0.170898261,9.510000000,-0.071322584,0,0.177697052,0.365771513,0.365771513,0.045000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,45,0.045000,0.701912868,0.009386978,1.368183454,0.426849439,-0.137600000,8.842732662,-0.178035453,-0.179006663,9.510000000,-0.076408894,0,0.178106468,0.365668929,0.365668929,0.046000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,46,0.046000,0.701999758,0.009809746,1.368000313,0.436359439,-0.140800000,8.842732662,-0.177922369,-0.187306661,9.510000000,-0.081733029,0,0.178525090,0.365563958,0.365563958,0.047000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,47,0.047000,0.702088644,0.010241812,1.367808776,0.445869439,-0.144000000,8.842732662,-0.177804046,-0.195798600,9.510000000,-0.087300612,0,0.178952916,0.365456594,0.365456594,0.048000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,48,0.048000,0.702179532,0.010683176,1.367608652,0.455379439,-0.147200000,8.842732662,-0.177680364,-0.204482834,9.510000000,-0.093117278,0,0.179389943,0.365346830,0.365346830,0.049000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,49,0.049000,0.702272431,0.011133835,1.367399746,0.464889439,-0.150400000,8.842732662,-0.177551209,-0.213359726,9.510000000,-0.099188683,0,0.179836171,0.365234658,0.365234658,0.050000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,50,0.050000,0.702367347,0.011593788,1.367181868,0.474399439,-0.153600000,8.842732662,-0.177416462,-0.222429647,9.510000000,-0.105520499,0,0.180291597,0.365120071,0.365120071,0.051000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,51,0.051000,0.702464290,0.012063033,1.366954823,0.483909439,-0.156800000,8.842732662,-0.177276008,-0.231692975,9.510000000,-0.112118418,0,0.180756219,0.365003060,0.365003060,0.052000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,52,0.052000,0.702563269,0.012541569,1.366718417,0.493419439,-0.160000000,8.842732662,-0.177129729,-0.241150100,9.510000000,-0.118988147,0,0.181230034,0.364883617,0.364883617,0.053000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,53,0.053000,0.702664291,0.013029393,1.366472458,0.502929439,-0.163200000,8.842732662,-0.176977510,-0.244164472,9.510000000,-0.122797501,0,0.181713042,0.364761733,0.364761733,0.054000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,54,0.054000,0.702770117,0.013525923,1.366240521,0.512439439,-0.166400000,8.842732662,-0.176819234,-0.221357518,9.510000000,-0.113432322,0,0.182204541,0.364634674,0.364634674,0.055000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,55,0.055000,0.702881718,0.014030932,1.366026954,0.521949439,-0.169600000,8.842732662,-0.176667422,-0.206987193,9.510000000,-0.108036849,0,0.182704262,0.364501482,0.364501482,0.056000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,56,0.056000,0.702998690,0.014544483,1.365824490,0.531459439,-0.172800000,8.842732662,-0.176523918,-0.198835550,9.510000000,-0.105673030,0,0.183212286,0.364362558,0.364362558,0.057000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,57,0.057000,0.703120727,0.015066625,1.365627759,0.540969439,-0.176000000,8.842732662,-0.176384422,-0.195291774,9.510000000,-0.105646882,0,0.183728675,0.364218204,0.364218204,0.058000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,58,0.058000,0.703247593,0.015597398,1.365432771,0.550479439,-0.179200000,8.842732662,-0.176245771,-0.195180031,9.510000000,-0.107442594,0,0.184253479,0.364068654,0.364068654,0.059000,0,0,1,completed_lap
rk4_dt_0p0010,rk4,0.001000,59,0.059000,0.703379094,0.016136835,1.365236737,0.559989439,-0.176000000,8.842732662,-0.176105629,-0.197077891,9.510000000,-0.110361538,0,0.184786739,0.363914102,0.363914102,0.060000,0,0,1,completed_lap
