time_s,dt_to_next_s,input_accel_x_mps2,input_steer_rad,command_steer_rad,gym_x_m,gym_y_m,gym_theta_rad,gym_speed_mps,model_x_m,model_y_m,model_theta_rad,model_speed_mps,accel_y_mps2,error_x_m,error_y_m,error_position_m,error_yaw_rad,error_speed_mps
0.01,0.01,8.409438762,0.0,-0.179619089,0.700083535,0.00041209,1.370796327,0.084094388,0.700083535,0.00041209,1.370796327,0.084094388,0.0,0.0,0.0,0.0,0.0,0.0
0.02,0.009999999999999998,9.51,0.0,-0.179619089,0.700345072,0.001702293,1.370796327,0.179194388,0.7003341396361826,0.0016483614841314772,1.3707963269999999,0.16818877562,0.0,-1.093236381732865e-05,-5.393151586852271e-05,5.5028401598730395e-05,0.0,-0.011005612380000002
0.03,0.010000000000000002,9.51,-0.032,-0.179619089,0.700795633,0.003924521,1.370678755,0.274294388,0.7007627464175387,0.003762745119514914,1.3707963269999999,0.26328877561999997,-0.00729382,-3.2886582461366665e-05,-0.00016177588048508617,0.00016508471404922127,0.00011757199999973267,-0.01100561238000003
0.04,0.010000000000000002,9.51,-0.064,-0.179542503,0.701436079,0.007078599,1.370202803,0.369394388,0.7014312876181056,0.006798387890203539,1.3704950289000628,0.35838877562,-0.0264836,-4.791381894464486e-06,-0.0002802111097964608,0.00028025207116776644,0.00029222590006305893,-0.01100561238000003
0.05,0.009999999999999995,9.51,-0.096,-0.179233571,0.70226879,0.011164043,1.369182663,0.464494388,0.7023723772065809,0.010747182450381306,1.369707590388626,0.45348877562,-0.062920496,0.00010358720658087961,-0.0004168605496186941,0.0004295381556924013,0.0005249273886258621,-0.011005612379999974
0.06,0.010000000000000009,9.51,-0.128,-0.178574673,0.703352419,0.016168033,1.367662507,0.559594388,0.7036205899082237,0.01559959896418723,1.3682482374289018,0.54858877562,-0.039165285,0.00026817090822373046,-0.000568434035812769,0.0006285164191076737,0.000585730428901865,-0.011005612380000085
0.07,0.009999999999999995,9.51,-0.16,-0.177546196,0.704819138,0.022059613,1.366155173,0.654694388,0.7052131781250317,0.021344317471802255,1.3659298093740793,0.64368877562,-0.118680601,0.0003940401250317471,-0.0007152955281977437,0.0008166488307679893,-0.00022536362592084913,-0.011005612379999974
0.08,0.009999999999999995,9.51,-0.192,-0.176356452,0.706634167,0.028843387,1.36375028,0.749794388,0.7071907679140789,0.027967775615247326,1.362563299012356,0.73878877562,-0.216188301,0.0005566009140788308,-0.000875611384752676,0.001037545119337896,-0.0011869809876441373,-0.011005612379999974
0.09,0.010000000000000009,9.51,-0.16,-0.17446954,0.708801046,0.036516708,1.360475045,0.844894388,0.7095980277909948,0.03545361940050488,1.3579573858834477,0.83388877562,-0.29562421,0.0007969817909947441,-0.001063088599495124,0.0013286599811666241,-0.002517659116552551,-0.011005612380000085
0.1,0.009999999999999995,9.51,-0.192,-0.171920364,0.711291415,0.045086618,1.356712989,0.939994388,0.7121909228296628,0.04387800110921539,1.3536645526744193,0.92898877562,-0.387372843,0.000899507829662749,-0.0012086168907846154,0.0015066084840841896,-0.0030484363255807168,-0.011005612379999974
0.11,0.009999999999999995,9.51,-0.16,-0.168997754,0.71411458,0.054549906,1.352314162,1.035094388,0.7152682213855658,0.05314583640131025,1.3479445590699202,1.02408877562,-0.472132415,0.001153641385565729,-0.0014040695986897514,0.0018172231245652843,-0.004369602930079708,-0.011005612380000196
0.12,0.010000000000000009,9.51,-0.192,-0.165621789,0.717257654,0.064910054,1.347550643,1.130194388,0.7185277418421734,0.06335447155671554,1.3427254030135867,1.1191887756199999,-0.57274236,0.0012700878421734174,-0.0015555824432844506,0.002008223061487829,-0.004825239986413266,-0.011005612380000196
