scenario,kind,fitted_C_Sf,fitted_C_Sr,C_Sf_oracle_relative_error,C_Sr_oracle_relative_error,C_Sf_error_growth_vs_nominal,C_Sr_error_growth_vs_nominal,jacobian_condition_number,condition_growth_vs_nominal,heldout_rollout_yaw_rate_rmse,heldout_rollout_slip_angle_rmse,acceptance_passed,first_failed_gate,gate_oracle_recovery,gate_heldout_yaw_rate,gate_heldout_slip_angle,gate_heldout_yaw,gate_heldout_normalized_fit,gate_heldout_variance_accounted_for,gate_identifiability
nominal,nominal,4.717999997547852,5.4562000035612845,5.197430729403866e-10,6.527041898300296e-10,1.0,1.0,1.3401395117691883,1.0,3.028881205633586e-10,2.8778980408844387e-10,True,,True,True,True,True,True,True,True
noise_low,noise,4.712180319286493,5.458652698583598,0.0012335058739946358,0.00044952505106080764,2373299.305397604,688711.7595765216,1.3396912330466277,0.9996654984659256,0.0021040762117023903,4.2921760671438576e-05,True,,True,True,True,True,True,True,True
noise_medium,noise,4.597003470018535,5.546687475546889,0.02564572487949657,0.01658433993381647,49343081.63918152,25408661.675873708,1.321453093519052,0.9860563634710932,0.01147880174530265,0.0002490010811330034,False,heldout_yaw_rate,True,False,True,False,True,True,True
noise_high,noise,4.208952536089089,6.604408317991454,0.10789475708158357,0.2104410245209952,207592486.94009793,322414085.58415425,1.1377113558298462,0.8489499383000012,0.04310186466965215,0.0009172304277977482,False,oracle_recovery,False,False,True,False,True,False,True
latency_20ms,latency,2.640226153884279,5.171786995728473,0.4403929305035441,0.05212657238948846,847328138.5205805,79862475.53131644,1.1460315026593326,0.8551583567194406,0.07181571477714577,0.0034276516821573418,False,oracle_recovery,False,False,False,True,False,False,True
latency_50ms,latency,0.5076414271936858,4.543996208910415,0.892403258331139,0.16718664841640424,1717008469.7473123,256144592.02405494,1.7793961684944355,1.3277693500323422,0.1705728388870545,0.008210065128329556,False,oracle_recovery,False,False,False,False,False,False,True
latency_100ms,latency,0.7539818272745578,4.638996055914493,0.8401903714975503,0.1497752912439989,1616549436.1363394,229468867.48651305,1.5920985439470945,1.188009554203265,0.24880911933355127,0.011442392722749864,False,oracle_recovery,False,False,False,False,False,False,True
quantization_low,quantization,4.7210071525266635,5.455371436930202,0.0006373786618617006,0.00015185716612260762,1226334.1159234778,232658.48218647513,1.3401053363360416,0.9999744986004467,0.00027813297805519825,1.656086391741245e-06,True,,True,True,True,True,True,True,True
quantization_medium,quantization,4.71288367656932,5.439218264719417,0.001084426331216552,0.003112374047978915,2086466.155443948,4768429.705942913,1.3379166792563433,0.9983413424547788,0.0015198329298605664,1.6315144876733608e-05,True,,True,True,True,True,True,True,True
quantization_high,quantization,4.847956208643266,5.3761533417359635,0.027544766562794868,0.01467077054800712,52996890.18838389,22476905.73554849,1.3246318196098446,0.9884283001708746,0.01296321034297376,0.0005883152079815187,False,heldout_yaw_rate,True,False,True,False,True,True,True
combined_medium,combined,0.5328859525019586,4.706120089580873,0.8870525747134467,0.137472950115305,1706713606.965551,210620603.1113486,1.7592914718595987,1.3127674069821775,0.175203526168966,0.00839565035483207,False,oracle_recovery,False,False,False,False,False,False,True
